X,Y,Label,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,NDVI,NDWI,ID,Label_ID
658808.3,1224039,Rice paddies,0.022596,0.0297515,0.061799999,0.044997498,0.329182506,0.147000507,0.071672499,0.759487331,-0.683873296,224,2
671501.2,1207124,Rice paddies,0.036850624,0.042570625,0.075254373,0.055619374,0.320533752,0.160277501,0.074862503,0.704272747,-0.619723916,225,2
657449.1,1225902,Rice paddies,0.017987,0.02495,0.055002,0.0430285,0.284945995,0.128454506,0.063169502,0.737610698,-0.676409304,226,2
701818.0,1194115,Rice paddies,0.035053078,0.041386537,0.063650958,0.05822077,0.214672506,0.106663078,0.055521537,0.573307395,-0.542611599,227,2
657282.1,1218320,Rice paddies,0.015304375,0.020763125,0.050724376,0.03232,0.266709387,0.111705624,0.052140623,0.783833981,-0.68040967,228,2
670718.4,1185307,Rice paddies,0.025616875,0.036321249,0.066581562,0.062896565,0.164900944,0.102895312,0.061789688,0.447785318,-0.424737841,229,2
661442.2,1215043,Rice paddies,0.046709374,0.05642375,0.089251876,0.091582499,0.307292491,0.280081242,0.169283748,0.540795922,-0.549851775,230,2
661613.4,1228946,Rice paddies,0.050228,0.055739,0.0834755,0.085956,0.325744987,0.289445013,0.167004004,0.582434773,-0.59202677,231,2
697268.9,1176952,Rice paddies,0.032970835,0.043017499,0.070068337,0.068940833,0.09797778,0.06731528,0.040896945,0.173958719,-0.166082039,232,2
672588.6,1208825,Rice paddies,0.033815999,0.039068501,0.067833498,0.0478465,0.353283495,0.148023501,0.072079502,0.761441469,-0.677840054,233,2
678107.6,1178699,Rice paddies,0.05431607,0.065634288,0.095491432,0.112199642,0.246486068,0.282546431,0.187160715,0.374384671,-0.441533804,234,2
668729.7,1185766,Rice paddies,0.0283875,0.035231564,0.075034373,0.047644377,0.411342174,0.180751249,0.076653436,0.792393148,-0.691455603,235,2
680090.0,1180657,Rice paddies,0.060205001,0.070010714,0.096214287,0.113059998,0.254963934,0.267162144,0.171509281,0.38558346,-0.45204863,236,2
670188.3,1215204,Rice paddies,0.035933498,0.041345499,0.069532998,0.060215998,0.286491513,0.200295493,0.104540497,0.652640939,-0.609392107,237,2
670886.4,1209905,Rice paddies,0.055133998,0.060513001,0.087727003,0.082799003,0.274924994,0.205504,0.129065007,0.537078798,-0.516191781,238,2
689524.9,1200748,Rice paddies,0.028803438,0.036823124,0.079678439,0.053336874,0.42018345,0.169868127,0.078712501,0.774721861,-0.68119818,239,2
669595.7,1183090,Rice paddies,0.055734284,0.065540001,0.090356782,0.113896787,0.218180716,0.253757864,0.179169998,0.314034909,-0.414289802,240,2
671968.4,1206722,Rice paddies,0.045114376,0.0498925,0.073872499,0.070771873,0.236486882,0.183363751,0.120168753,0.539333701,-0.523955047,241,2
703276.6,1156570,Rice paddies,0.062755622,0.074824691,0.111299999,0.119378127,0.165416569,0.072260313,0.043632813,0.161654845,-0.195566788,242,2
668618.3,1186133,Rice paddies,0.034200311,0.041168123,0.066901252,0.062999688,0.201259375,0.138105631,0.077774063,0.523197472,-0.501035929,243,2
678036.8,1180119,Rice paddies,0.063579641,0.075982146,0.108970359,0.125450715,0.273129642,0.25988251,0.175771788,0.370512277,-0.429623902,244,2
679865.6,1184876,Rice paddies,0.023626944,0.030663889,0.055196945,0.040524166,0.114569448,0.05567361,0.03084111,0.477423191,-0.349730611,245,2
657970.6,1227572,Rice paddies,0.022117499,0.028607501,0.059280999,0.048193,0.282971501,0.132716998,0.066783004,0.708948255,-0.653583288,246,2
670418.4,1209319,Rice paddies,0.050090499,0.057268001,0.088810503,0.085790999,0.331646502,0.2489485,0.141786501,0.588963628,-0.577552497,247,2
673168.2,1210486,Rice paddies,0.043616999,0.049897999,0.082754999,0.076072499,0.327109009,0.206274003,0.115304001,0.622639,-0.596183121,248,2
660959.9,1219419,Rice paddies,0.026621999,0.032595001,0.060562499,0.046867501,0.28254801,0.143458501,0.070044503,0.715450585,-0.64697969,249,2
689883.4,1198393,Rice paddies,0.044840358,0.052324284,0.082079284,0.072045714,0.29073751,0.201704279,0.107065,0.602816701,-0.559680283,250,2
669698.1,1182235,Rice paddies,0.049308125,0.058933124,0.08623375,0.096233435,0.230055317,0.231096879,0.153832182,0.410133272,-0.45471558,251,2
671582.4,1188780,Rice paddies,0.026139375,0.033175938,0.060026251,0.047252499,0.269380301,0.138944373,0.069097809,0.701531231,-0.635549128,252,2
658927.7,1223459,Rice paddies,0.028767001,0.0355375,0.065105498,0.058868501,0.258282006,0.193926498,0.112015001,0.628766179,-0.597353041,253,2
